date	data1	data2	data3	data4	data5	data6	data7	data8	data9
20160722	0	3420.00	500.00	2100.00	200.00	0	0	0	0	0
20160723	350.00	7250.00	6650.00	7650.00	0	0	0	0	0	0
20160724	0.00	6750.00	12950.00	8100.00	0	0	0	0	0	0
20160725	0.00	1980.00	2000.00	2450.00	0	0	250.00	0	0	0
20160726	0.00	720.00	3000.00	1400.00	0	0	125.00	0	0	0
20160727	0.00	4320.00	5750.00	3150.00	0	90.00	250.00	0	0	0
20160728	0.00	900.00	1250.00	5950.00	0	0	0	0	0	0
20160729	700.00	4250.00	9100.00	8100.00	0	450.00	625.00	0	0	0
20160730	450.00	8000.00	19950.00	37350.00	0	270.00	125.00	1575.00	0	0
20160731	0.00	5750.00	8750.00	32400.00	0	90.00	500.00	175.00	0	0
20160801	0	1620.00	4250.00	2450.00	0	0	0	175.00	0	0
20160802	0.00	1620.00	3750.00	5600.00	0	180.00	0	0	0	0
20160803	0.00	3060.00	3000.00	8750.00	0	450.00	0	0	0	0
20160804	0.00	4320.00	4000.00	4200.00	0	0	0	0	0	0
20160805	0.00	3750.00	29750.00	36900.00	0	0	250.00	350.00	0	0.00
20160806	0.00	31250.00	31150.00	28800.00	0	270.00	750.00	875.00	0.00	0
20160807	0.00	12750.00	22750.00	36900.00	0	180.00	375.00	700.00	0	0
20160808	0.00	2700.00	5250.00	3850.00	0	180.00	375.00	175.00	0	0
20160809	0.00	4140.00	10000.00	1750.00	0	0	375.00	0	0	0
20160810	0.00	360.00	10250.00	1050.00	0	0	500.00	0	0.00	0
20160811	0.00	5760.00	5500.00	8050.00	0	0	250.00	0	0	0.00
20160812	0.00	3000.00	9450.00	17550.00	0	0	0	525.00	0	0
20160813	0.00	17750.00	28700.00	40050.00	0	180.00	250.00	175.00	0	0
20160814	0.00	13000.00	29750.00	33300.00	0	360.00	250.00	700.00	0.00	0.00
20160815	0.00	5220.00	5500.00	2100.00	0	90.00	0	175.00	0	0
20160816	0.00	2880.00	4500.00	6650.00	0	0	0	0	0	0
20160817	0.00	3240.00	2500.00	9800.00	0	0	0	175.00	0	0
20160818	0.00	5040.00	5500.00	8750.00	0	0	0	0	0	0
20160819	0.00	7750.00	19950.00	28350.00	0	90.00	125.00	0	0.00	0
20160820	0.00	11500.00	15400.00	73800.00	0	90.00	0	875.00	0	0
20160821	0.00	17500.00	26250.00	22500.00	0	540.00	1000.00	525.00	0	0
20160822	0.00	3600.00	9500.00	2800.00	0	180.00	0	0	0	0
20160823	0.00	5760.00	5250.00	7700.00	0	0	250.00	0	0	0
20160824	0.00	1620.00	8750.00	5250.00	0	0	375.00	0	0	0
20160825	0.00	4320.00	4750.00	7350.00	0	90.00	0	175.00	0	0
20160826	0.00	2000.00	23800.00	15300.00	0	0	125.00	175.00	0	0
20160827	0.00	8500.00	31150.00	58050.00	0	180.00	1000.00	700.00	0	0
20160828	0.00	15500.00	25900.00	22500.00	0	720.00	375.00	1400.00	0	0
20160829	0.00	14250.00	35000.00	60300.00	0	90.00	875.00	1575.00	0	0
20160830	0.00	4000.00	10500.00	19350.00	0	90.00	125.00	175.00	0	0
20160831	0.00	7200.00	4750.00	5950.00	0	180.00	250.00	0	0	0
20160901	0.00	3960.00	2000.00	4200.00	0	0	125.00	0	0	0
20160902	0.00	3750.00	25200.00	13500.00	0	0	250.00	0	0	0
20160903	0.00	7750.00	5950.00	81450.00	0	360.00	500.00	2450.00	0	0
20160904	0.00	7500.00	23800.00	25200.00	0	90.00	375.00	1225.00	0	0
20160905	0.00	1620.00	5500.00	1400.00	0	0	0	0	0	0
20160906	0	720.00	2000.00	0	0	180.00	0	0	0	0
20160907	0.00	3420.00	6500.00	2450.00	0	90.00	0	350.00	0	0
20160908	0.00	6660.00	5750.00	6300.00	0	90.00	0	175.00	0	0
20160909	0.00	13500.00	13650.00	36000.00	0	450.00	375.00	700.00	0	0.00
20160910	0.00	9250.00	35350.00	42750.00	0	270.00	250.00	175.00	0	0.00
20160911	0.00	13000.00	13300.00	25650.00	0	630.00	625.00	1050.00	0	0
20160912	0.00	1000.00	5600.00	4500.00	0	0	250.00	0	0	0
20160913	0	1440.00	4500.00	6650.00	400.00	360.00	0	0	0	0
